onset	duration	sample	funded	choice	category	project_id	trial_type
28.283	0	28283	1	0.0	place	PR81	image
46.266	0	46266	0	0.0	place	PR59	image
64.249	0	64249	1	0.0	face	PR11	image
80.266	0	80266	1	n/a	place	PR78	image
98.266	0	98266	1	0.0	place	PR63	image
116.266	0	116266	0	0.0	place	PR53	image
132.249	0	132249	1	0.0	face	PR23	image
150.266	0	150266	1	0.0	place	PR73	image
166.266	0	166266	1	0.0	place	PR66	image
181.266	0	181266	1	n/a	face	PR42	image
196.266	0	196266	0	0.0	face	PR08	image
214.266	0	214266	0	0.0	face	PR47	image
232.266	0	232266	1	0.0	face	PR06	image
247.233	0	247233	0	0.0	face	PR40	image
265.25	0	265250	1	0.0	face	PR19	image
281.25	0	281250	1	0.0	place	PR72	image
297.25	0	297250	1	1.0	face	PR41	image
315.25	0	315250	1	0.0	face	PR20	image
331.25	0	331250	0	0.0	face	PR38	image
346.25	0	346250	1	0.0	place	PR67	image
362.25	0	362250	0	0.0	place	PR86	image
378.25	0	378250	1	0.0	face	PR24	image
396.25	0	396250	0	n/a	place	PR64	image
414.25	0	414250	1	0.0	place	PR69	image
430.25	0	430250	1	0.0	place	PR79	image
445.233	0	445233	1	n/a	place	PR74	image
463.234	0	463234	0	0.0	face	PR36	image
481.234	0	481234	0	0.0	face	PR16	image
497.234	0	497234	1	0.0	face	PR44	image
512.234	0	512234	1	0.0	place	PR75	image
528.217	0	528217	0	0.0	place	PR65	image
546.234	0	546234	1	0.0	face	PR30	image
562.234	0	562234	0	0.0	place	PR58	image
578.234	0	578234	1	0.0	face	PR09	image
596.234	0	596234	1	0.0	face	PR27	image
614.234	0	614234	1	0.0	place	PR57	image
632.234	0	632234	1	0.0	face	PR25	image
647.234	0	647234	1	0.0	place	PR76	image
663.234	0	663234	0	n/a	face	PR46	image
678.234	0	678234	0	1.0	face	PR43	image
696.234	0	696234	0	0.0	face	PR14	image
712.218	0	712218	1	0.0	face	PR22	image
728.218	0	728218	0	0.0	face	PR15	image
746.234	0	746234	0	0.0	place	PR87	image
761.218	0	761218	0	0.0	face	PR37	image
776.218	0	776218	1	0.0	face	PR13	image
794.218	0	794218	0	0.0	place	PR84	image
809.218	0	809218	0	0.0	place	PR68	image
827.201	0	827201	0	0.0	place	PR55	image
845.201	0	845201	1	1.0	place	PR77	image
863.218	0	863218	0	0.0	face	PR17	image
879.218	0	879218	1	0.0	face	PR03	image
897.218	0	897218	0	0.0	place	PR90	image
912.202	0	912202	1	0.0	face	PR29	image
930.202	0	930202	0	0.0	place	PR89	image
945.218	0	945218	0	0.0	face	PR33	image
961.202	0	961202	0	0.0	place	PR85	image
977.185	0	977185	0	0.0	face	PR35	image
992.219	0	992219	1	0.0	face	PR26	image
1010.219	0	1010219	1	0.0	place	PR70	image
1026.185	0	1026185	0	0.0	face	PR34	image
1041.202	0	1041202	0	0.0	place	PR49	image
1059.202	0	1059202	1	0.0	face	PR10	image
1074.202	0	1074202	1	0.0	face	PR18	image
1090.186	0	1090186	0	0.0	place	PR54	image
1105.186	0	1105186	0	0.0	place	PR56	image
1120.202	0	1120202	1	0.0	place	PR51	image
1138.186	0	1138186	0	0.0	face	PR07	image
1153.186	0	1153186	1	0.0	place	PR71	image
1169.202	0	1169202	0	0.0	place	PR52	image
1185.203	0	1185203	0	0.0	place	PR83	image
1201.186	0	1201186	0	0.0	face	PR00	image
1217.186	0	1217186	1	0.0	face	PR12	image
1235.186	0	1235186	1	1.0	face	PR01	image
1250.186	0	1250186	1	0.0	face	PR05	image
1268.169	0	1268169	0	0.0	place	PR62	image
1283.186	0	1283186	1	0.0	place	PR80	image
1298.186	0	1298186	1	0.0	face	PR28	image
1314.186	0	1314186	0	0.0	face	PR04	image
1330.186	0	1330186	0	0.0	face	PR39	image
1345.186	0	1345186	0	0.0	face	PR32	image
1363.17	0	1363170	0	0.0	place	PR60	image
1378.17	0	1378170	1	0.0	face	PR48	image
1393.187	0	1393187	0	0.0	place	PR61	image
1409.187	0	1409187	0	0.0	face	PR45	image
1425.17	0	1425170	0	0.0	place	PR82	image
1443.17	0	1443170	1	0.0	face	PR02	image
1459.17	0	1459170	1	0.0	face	PR31	image
1475.17	0	1475170	0	0.0	place	PR88	image
1490.17	0	1490170	1	0.0	face	PR21	image
1505.17	0	1505170	0	0.0	place	PR50	image
