onset	duration	sample	funded	choice	category	project_id	trial_type
341.384	0	341384	0	1.0	place	PR59	image
359.385	0	359385	1	0.0	face	PR22	image
377.368	0	377368	0	1.0	place	PR68	image
393.351	0	393351	1	0.0	place	PR70	image
411.368	0	411368	0	0.0	place	PR65	image
429.368	0	429368	0	0.0	face	PR08	image
445.351	0	445351	0	0.0	place	PR58	image
463.368	0	463368	0	1.0	place	PR87	image
479.368	0	479368	0	1.0	place	PR85	image
494.368	0	494368	0	0.0	face	PR45	image
509.351	0	509351	0	1.0	face	PR47	image
527.352	0	527352	1	1.0	face	PR25	image
545.368	0	545368	0	0.0	place	PR55	image
560.368	0	560368	0	n/a	face	PR00	image
578.352	0	578352	0	1.0	place	PR49	image
594.352	0	594352	0	1.0	place	PR64	image
610.352	0	610352	0	0.0	face	PR35	image
628.352	0	628352	0	0.0	face	PR34	image
644.352	0	644352	0	1.0	place	PR61	image
659.352	0	659352	0	0.0	place	PR89	image
675.335	0	675335	0	0.0	place	PR50	image
691.352	0	691352	1	0.0	face	PR44	image
709.335	0	709335	1	1.0	face	PR20	image
727.335	0	727335	1	1.0	face	PR01	image
743.352	0	743352	1	0.0	face	PR03	image
758.335	0	758335	1	1.0	face	PR09	image
776.335	0	776335	0	1.0	face	PR16	image
794.336	0	794336	1	1.0	place	PR66	image
810.352	0	810352	0	0.0	place	PR86	image
825.319	0	825319	1	1.0	place	PR74	image
841.336	0	841336	1	0.0	place	PR80	image
859.336	0	859336	0	0.0	face	PR17	image
875.352	0	875352	1	0.0	place	PR81	image
891.352	0	891352	0	0.0	place	PR56	image
909.336	0	909336	1	1.0	face	PR21	image
927.336	0	927336	1	0.0	place	PR51	image
945.336	0	945336	0	1.0	face	PR40	image
960.319	0	960319	1	0.0	face	PR19	image
976.319	0	976319	1	1.0	face	PR48	image
991.319	0	991319	1	0.0	face	PR30	image
1009.336	0	1009336	1	1.0	place	PR77	image
1025.303	0	1025303	0	n/a	place	PR54	image
1041.32	0	1041320	1	0.0	place	PR73	image
1059.32	0	1059320	0	0.0	face	PR32	image
1074.336	0	1074336	1	1.0	face	PR05	image
1089.303	0	1089303	1	0.0	face	PR23	image
1107.32	0	1107320	1	1.0	face	PR42	image
1122.32	0	1122320	0	1.0	place	PR60	image
1140.303	0	1140303	0	0.0	face	PR14	image
1158.303	0	1158303	1	0.0	place	PR75	image
1176.32	0	1176320	1	1.0	face	PR18	image
1192.32	0	1192320	1	0.0	face	PR11	image
1210.32	0	1210320	1	0.0	face	PR27	image
1225.287	0	1225287	1	1.0	place	PR63	image
1243.304	0	1243304	1	1.0	face	PR28	image
1258.32	0	1258320	0	1.0	face	PR43	image
1274.304	0	1274304	1	1.0	place	PR78	image
1290.304	0	1290304	1	0.0	face	PR06	image
1305.304	0	1305304	1	1.0	face	PR10	image
1323.304	0	1323304	0	0.0	place	PR82	image
1339.304	0	1339304	0	0.0	place	PR83	image
1354.287	0	1354287	1	1.0	face	PR41	image
1372.304	0	1372304	0	1.0	place	PR90	image
1387.304	0	1387304	0	1.0	face	PR46	image
1403.287	0	1403287	0	0.0	place	PR62	image
1418.304	0	1418304	1	0.0	face	PR13	image
1433.287	0	1433287	1	0.0	face	PR29	image
1451.304	0	1451304	1	1.0	place	PR71	image
1466.288	0	1466288	1	1.0	face	PR02	image
1482.288	0	1482288	0	1.0	face	PR39	image
1498.304	0	1498304	1	0.0	face	PR24	image
1514.288	0	1514288	0	0.0	place	PR88	image
1530.288	0	1530288	1	1.0	face	PR31	image
1548.288	0	1548288	1	1.0	place	PR72	image
1563.305	0	1563305	0	1.0	face	PR37	image
1581.288	0	1581288	0	1.0	face	PR07	image
1596.288	0	1596288	0	1.0	place	PR53	image
1611.288	0	1611288	0	1.0	face	PR36	image
1627.271	0	1627271	1	1.0	place	PR67	image
1643.288	0	1643288	0	0.0	place	PR84	image
1658.271	0	1658271	0	0.0	place	PR52	image
1676.272	0	1676272	1	0.0	place	PR79	image
1691.272	0	1691272	1	1.0	place	PR69	image
1706.288	0	1706288	0	1.0	face	PR04	image
1722.272	0	1722272	1	n/a	place	PR76	image
1738.272	0	1738272	1	1.0	face	PR26	image
1756.272	0	1756272	1	0.0	face	PR12	image
1772.255	0	1772255	0	0.0	face	PR33	image
1788.272	0	1788272	0	1.0	face	PR38	image
1803.255	0	1803255	0	0.0	face	PR15	image
1818.255	0	1818255	1	1.0	place	PR57	image
