onset	duration	sample	funded	choice	category	project_id	trial_type
579.145	0	579145	1	n/a	place	PR72	image
597.112	0	597112	1	0.0	face	PR23	image
615.112	0	615112	0	0.0	face	PR45	image
631.112	0	631112	1	1.0	place	PR78	image
649.112	0	649112	0	1.0	face	PR04	image
667.112	0	667112	0	1.0	place	PR54	image
683.129	0	683129	0	1.0	place	PR62	image
701.095	0	701095	0	1.0	place	PR88	image
717.112	0	717112	1	1.0	face	PR22	image
732.129	0	732129	0	1.0	face	PR35	image
747.096	0	747096	1	1.0	face	PR41	image
765.096	0	765096	1	0.0	face	PR29	image
783.096	0	783096	1	0.0	face	PR02	image
798.096	0	798096	0	1.0	face	PR16	image
816.096	0	816096	1	1.0	place	PR77	image
832.113	0	832113	1	1.0	face	PR09	image
848.113	0	848113	1	0.0	face	PR31	image
866.096	0	866096	1	0.0	place	PR63	image
882.096	0	882096	1	1.0	place	PR74	image
897.096	0	897096	0	1.0	face	PR00	image
913.096	0	913096	1	1.0	face	PR18	image
929.096	0	929096	1	0.0	face	PR25	image
947.08	0	947080	0	0.0	face	PR15	image
965.08	0	965080	1	1.0	face	PR01	image
981.08	0	981080	0	0.0	place	PR58	image
996.096	0	996096	0	1.0	face	PR36	image
1014.097	0	1014097	1	1.0	place	PR76	image
1032.08	0	1032080	1	0.0	face	PR42	image
1048.097	0	1048097	1	0.0	place	PR79	image
1063.097	0	1063097	0	1.0	place	PR61	image
1079.08	0	1079080	0	n/a	face	PR46	image
1097.08	0	1097080	0	1.0	face	PR37	image
1113.097	0	1113097	0	0.0	place	PR59	image
1129.097	0	1129097	0	1.0	face	PR47	image
1147.064	0	1147064	0	0.0	place	PR90	image
1165.064	0	1165064	0	0.0	place	PR82	image
1183.08	0	1183080	1	0.0	face	PR21	image
1198.08	0	1198080	1	1.0	place	PR71	image
1214.064	0	1214064	1	1.0	face	PR11	image
1229.081	0	1229081	0	0.0	place	PR52	image
1247.064	0	1247064	0	1.0	face	PR40	image
1263.064	0	1263064	1	0.0	face	PR24	image
1279.064	0	1279064	0	0.0	face	PR08	image
1297.064	0	1297064	1	1.0	face	PR30	image
1312.081	0	1312081	1	0.0	place	PR80	image
1327.064	0	1327064	1	0.0	place	PR57	image
1345.064	0	1345064	1	1.0	face	PR48	image
1360.064	0	1360064	0	1.0	place	PR89	image
1378.064	0	1378064	0	0.0	place	PR68	image
1396.064	0	1396064	0	1.0	place	PR49	image
1414.048	0	1414048	0	1.0	place	PR64	image
1430.048	0	1430048	1	1.0	face	PR05	image
1448.048	0	1448048	0	1.0	face	PR43	image
1463.065	0	1463065	0	0.0	place	PR50	image
1481.048	0	1481048	0	0.0	face	PR14	image
1496.048	0	1496048	1	1.0	place	PR75	image
1512.048	0	1512048	0	0.0	place	PR56	image
1528.032	0	1528032	1	0.0	face	PR27	image
1543.048	0	1543048	1	0.0	face	PR06	image
1561.065	0	1561065	1	0.0	face	PR19	image
1577.065	0	1577065	1	0.0	face	PR10	image
1592.032	0	1592032	1	0.0	face	PR44	image
1610.032	0	1610032	0	0.0	face	PR17	image
1625.049	0	1625049	0	1.0	place	PR87	image
1641.065	0	1641065	1	0.0	place	PR69	image
1656.032	0	1656032	1	0.0	place	PR70	image
1671.032	0	1671032	0	1.0	place	PR85	image
1689.049	0	1689049	1	1.0	place	PR66	image
1704.032	0	1704032	0	0.0	face	PR39	image
1720.049	0	1720049	1	0.0	face	PR13	image
1736.032	0	1736032	1	0.0	face	PR12	image
1752.016	0	1752016	0	0.0	place	PR84	image
1768.049	0	1768049	0	1.0	place	PR55	image
1786.032	0	1786032	0	1.0	face	PR38	image
1801.033	0	1801033	1	1.0	place	PR67	image
1819.033	0	1819033	0	0.0	place	PR60	image
1834.016	0	1834016	0	0.0	place	PR86	image
1849.049	0	1849049	1	1.0	face	PR28	image
1865.033	0	1865033	1	1.0	place	PR51	image
1881.016	0	1881016	1	1.0	place	PR81	image
1896.016	0	1896016	0	1.0	place	PR83	image
1914.033	0	1914033	0	0.0	face	PR34	image
1929.033	0	1929033	1	0.0	face	PR26	image
1944.016	0	1944016	0	0.0	face	PR33	image
1960.016	0	1960016	1	0.0	face	PR20	image
1976.016	0	1976016	1	0.0	face	PR03	image
1994.017	0	1994017	0	0.0	place	PR53	image
2010.017	0	2010017	0	0.0	place	PR65	image
2026.017	0	2026017	0	1.0	face	PR07	image
2041.0	0	2041000	1	0.0	place	PR73	image
2056.017	0	2056017	0	0.0	face	PR32	image
