onset	duration	sample	funded	choice	category	project_id	trial_type
355.074	0	355074	0	0	face	PR38	image
373.074	0	373074	1	0	face	PR11	image
391.091	0	391091	1	0	place	PR63	image
407.074	0	407074	0	0	place	PR64	image
425.057	0	425057	1	0	place	PR80	image
443.058	0	443058	0	1	face	PR00	image
459.074	0	459074	0	0	place	PR59	image
477.074	0	477074	1	0	place	PR74	image
493.058	0	493058	0	0	face	PR35	image
508.074	0	508074	1	1	face	PR28	image
523.074	0	523074	1	1	face	PR42	image
541.074	0	541074	0	1	place	PR49	image
559.058	0	559058	0	0	face	PR36	image
574.074	0	574074	0	0	place	PR88	image
592.058	0	592058	1	0	place	PR76	image
608.074	0	608074	1	1	face	PR09	image
624.058	0	624058	0	0	place	PR56	image
642.058	0	642058	1	0	face	PR22	image
658.058	0	658058	1	0	face	PR26	image
673.075	0	673075	1	0	face	PR21	image
689.041	0	689041	1	1	face	PR31	image
705.041	0	705041	1	0	face	PR12	image
723.058	0	723058	0	1	face	PR16	image
741.058	0	741058	0	0	place	PR65	image
757.042	0	757042	0	1	face	PR47	image
772.058	0	772058	1	0	place	PR77	image
790.058	0	790058	1	0	face	PR29	image
808.058	0	808058	0	0	place	PR60	image
824.042	0	824042	1	0	place	PR75	image
839.042	0	839042	1	1	place	PR78	image
855.058	0	855058	1	0	place	PR67	image
873.059	0	873059	0	1	face	PR43	image
889.025	0	889025	1	1	face	PR03	image
905.042	0	905042	1	0	face	PR48	image
923.059	0	923059	0	0	place	PR55	image
941.059	0	941059	0	0	face	PR14	image
959.042	0	959042	1	0	face	PR02	image
974.042	0	974042	0	0	place	PR85	image
990.042	0	990042	1	0	place	PR71	image
1005.026	0	1005026	0	0	place	PR61	image
1023.042	0	1023042	0	0	place	PR87	image
1039.026	0	1039026	0	0	place	PR90	image
1055.026	0	1055026	1	0	face	PR20	image
1073.026	0	1073026	1	0	place	PR73	image
1088.026	0	1088026	0	0	place	PR68	image
1103.043	0	1103043	1	0	place	PR79	image
1121.026	0	1121026	0	0	face	PR45	image
1136.009	0	1136009	1	0	face	PR19	image
1154.026	0	1154026	1	0	face	PR27	image
1172.026	0	1172026	0	0	place	PR53	image
1190.026	0	1190026	1	1	face	PR01	image
1206.026	0	1206026	0	0	place	PR84	image
1224.01	0	1224010	0	0	place	PR83	image
1239.026	0	1239026	1	0	place	PR72	image
1257.01	0	1257010	0	0	face	PR15	image
1272.01	0	1272010	1	0	face	PR06	image
1288.026	0	1288026	0	0	face	PR33	image
1304.027	0	1304027	0	0	place	PR54	image
1318.993	0	1318993	1	0	face	PR25	image
1337.01	0	1337010	1	0	face	PR10	image
1353.027	0	1353027	0	0	place	PR50	image
1368.01	0	1368010	1	0	face	PR24	image
1386.01	0	1386010	0	0	face	PR17	image
1400.994	0	1400994	1	0	place	PR70	image
1417.01	0	1417010	0	0	place	PR52	image
1432.01	0	1432010	1	0	place	PR51	image
1447.027	0	1447027	0	0	face	PR04	image
1464.994	0	1464994	1	0	face	PR05	image
1480.01	0	1480010	1	1	place	PR66	image
1496.011	0	1496011	1	0	face	PR18	image
1512.011	0	1512011	0	0	face	PR39	image
1527.994	0	1527994	0	0	face	PR07	image
1544.011	0	1544011	0	0	place	PR89	image
1561.994	0	1561994	1	0	face	PR13	image
1576.994	0	1576994	1	0	face	PR44	image
1594.994	0	1594994	0	0	face	PR40	image
1609.994	0	1609994	0	0	place	PR62	image
1624.994	0	1624994	0	0	face	PR32	image
1640.978	0	1640978	1	0	place	PR69	image
1657.011	0	1657011	1	0	face	PR41	image
1671.994	0	1671994	1	0	face	PR23	image
1689.978	0	1689978	0	0	place	PR86	image
1704.994	0	1704994	1	0	place	PR81	image
1719.995	0	1719995	0	0	face	PR46	image
1735.978	0	1735978	1	0	face	PR30	image
1751.995	0	1751995	0	0	face	PR08	image
1769.995	0	1769995	1	0	place	PR57	image
1785.978	0	1785978	0	0	place	PR82	image
1801.995	0	1801995	0	0	place	PR58	image
1816.995	0	1816995	0	0	face	PR37	image
1831.978	0	1831978	0	0	face	PR34	image
